City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
384,smithers,54.7804,-127.1743,0.54,87,100,1.1,CA
385,muli,2.9167,73.5667,28.26,68,89,4.48,MV
386,isabela,6.7085,121.9711,25.96,87,100,2.12,PH
387,ndele,8.4109,20.6473,41.68,9,99,2.75,CF
388,cuyo,10.8525,121.0086,27.69,83,100,8.05,PH
389,karukh,34.4811,62.5863,14.33,44,100,0.57,AF
390,shagonar,51.5333,92.8,-17.14,98,23,0.07,RU
391,chibougamau,49.9168,-74.3659,0.28,99,100,2.11,CA
392,wanning,18.8003,110.3967,18.1,93,99,6.31,CN
393,codrington,-38.2667,141.9667,18.11,86,100,7.95,AU
394,glenville,41.0354,-73.6599,8.62,82,93,4.87,US
395,okakarara,-20.5833,17.4333,30.85,36,82,4.7,NA
396,lupane,-18.9315,27.807,30.22,42,2,2.72,ZW
397,ilomantsi,62.6716,30.9328,0.09,99,100,3.05,FI
398,hithadhoo,-0.6,73.0833,28.16,73,42,2.86,MV
399,kruisfontein,-34.0033,24.7314,24.69,67,31,8.65,ZA
400,mandan,46.8267,-100.8896,-4.38,89,28,3.17,US
401,gulma,12.6423,4.3555,38.98,6,95,4.7,NG
402,laguna,38.421,-121.4238,4.7,93,100,2.36,US
403,nar'yan-mar,67.6713,53.087,-7.15,91,92,6.01,RU
404,kristiansund,63.1115,7.732,5.99,75,45,10.1,NO
405,monrovia,6.3005,-10.7969,28.19,67,100,4.54,LR
406,loei,17.4167,101.5,27.21,48,100,2.27,TH
407,hammerfest,70.6634,23.6821,-0.44,96,100,3.91,NO
408,magdagachi,53.45,125.8,-24.33,94,5,1.27,RU
409,tulagi,-9.0996,160.1476,27.52,76,100,3.38,SB
410,piacabucu,-10.4056,-36.4344,28.4,70,43,5.16,BR
411,yanam,16.7333,82.2167,25.68,82,79,2.18,IN
412,bengbu,32.9408,117.3608,6.53,55,100,2.5,CN
413,aitape,-3.1374,142.3475,26.45,86,76,2.42,PG
414,pangody,65.85,74.4859,-16.9,99,43,3.98,RU
415,kavaratti,10.5669,72.642,28.28,73,99,2.77,IN
416,greenville,35.6127,-77.3663,6.19,61,100,7.19,US
417,shache,38.4167,77.2406,8.4,24,5,2.78,CN
